Account length,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total eve minutes,Total eve calls,Total night minutes,Total night calls,Total intl minutes,Total intl calls,Customer service calls,Churn,Total minutes,Total calls,Avg call minutes,Prc day minutes,Prc eve minutes,Prc night minutes,Prc intl minutes,State_AK,State_AL,State_AR,State_AZ,State_CA,State_CO,State_CT,State_DC,State_DE,State_FL,State_GA,State_HI,State_IA,State_ID,State_IL,State_IN,State_KS,State_KY,State_LA,State_MA,State_MD,State_ME,State_MI,State_MN,State_MO,State_MS,State_MT,State_NC,State_ND,State_NE,State_NH,State_NJ,State_NM,State_NV,State_NY,State_OH,State_OK,State_OR,State_PA,State_RI,State_SC,State_SD,State_TN,State_TX,State_UT,State_VA,State_VT,State_WA,State_WI,State_WV,State_WY,Area code_408,Area code_415,Area code_510
128,0,1,25,265.1,110,197.4,99,244.7,91,10.0,3,1,0,717.2,303,2.366996699669967,0.36963190184049083,0.2752370329057445,0.3411879531511433,0.013943112102621304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
107,0,1,26,161.6,123,195.5,103,254.4,103,13.7,3,1,0,625.2,332,1.883132530120482,0.2584772872680742,0.3126999360204734,0.40690978886756235,0.021912987843889953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
137,0,0,0,243.4,114,121.2,110,162.6,104,12.2,5,0,0,539.4000000000001,333,1.6198198198198202,0.4512421208750463,0.2246941045606229,0.30144605116796436,0.022617723396366328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
84,1,0,0,299.4,71,61.9,88,196.9,89,6.6,7,2,0,564.8,255,2.2149019607843137,0.5300991501416431,0.10959631728045327,0.3486189801699717,0.011685552407932011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
75,1,0,0,166.7,113,148.3,122,186.9,121,10.1,3,3,0,512.0,359,1.426183844011142,0.3255859375,0.2896484375,0.3650390625,0.0197265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
118,1,0,0,223.4,98,220.6,101,203.9,118,6.3,6,0,0,654.1999999999999,323,2.0253869969040244,0.3414857841638643,0.33720574747783555,0.3116783858147356,0.00963008254356466,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
121,0,1,24,218.2,88,348.5,108,212.6,118,7.5,7,3,0,786.8000000000001,321,2.451090342679128,0.27732587697000505,0.4429334011184545,0.27020843924758514,0.009532282663955262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
147,1,0,0,157.0,79,103.1,94,211.8,96,7.1,6,0,0,479.00000000000006,275,1.741818181818182,0.32776617954070975,0.21524008350730686,0.44217118997912314,0.014822546972860123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
141,1,1,37,258.6,84,222.0,111,326.4,97,11.2,5,0,0,818.2,297,2.754882154882155,0.31605964311904183,0.2713273038376925,0.39892446834514783,0.013688584698117817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
74,0,0,0,187.7,127,163.4,148,196.0,94,9.1,5,0,0,556.2,374,1.4871657754010696,0.3374685364976627,0.2937792161093132,0.3523912261776339,0.016361021215390147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
